Drug,n,EA±1_%,EA±2_%,RMSE_log2,Pearson_r,RMSE_ridge,MIC_range_log2
Rifabutin,10042,85.5,94.5,1.212,0.92,1.518,-5..2
Levofloxacin,7774,82.3,91.6,1.094,0.754,1.41,-4..4
Linezolid,7141,81.1,96.8,0.894,0.415,1.166,-6..3
Ethambutol,7506,80.5,95.6,0.956,0.776,1.2,-5..6
Ethionamide,8821,77.5,94.2,1.023,0.74,1.265,-3..4
Amikacin,8973,75.5,97.1,1.072,0.823,1.341,-3..5
Bedaquiline,8536,69.1,91.0,1.136,0.531,1.423,-8..2
Kanamycin,9333,68.1,97.1,1.039,0.748,1.305,-1..5
Clofazimine,7763,67.3,95.5,1.063,0.446,1.374,-6..3
Moxifloxacin,6785,66.7,89.4,1.312,0.767,1.716,-5..3
Isoniazid,9519,65.5,92.1,1.531,0.892,1.967,-6..5
Delamanid,11926,63.3,92.6,1.307,0.411,1.611,-8..1
Rifampicin,8955,62.1,86.3,1.739,0.892,2.183,-6..4
