Drug,n,%R,MIC_AUC,binary_AUC,delta,ECOFF_mg/L,Sens@ECOFF,Spec@ECOFF
Isoniazid,9519,47,0.978,0.979,-0.001,0.141,0.937,0.973
Rifampicin,8955,39,0.976,0.978,-0.002,0.707,0.936,0.972
Rifabutin,10042,32,0.974,0.977,-0.003,0.173,0.918,0.974
Ethambutol,6614,22,0.965,0.971,-0.006,4.0,0.853,0.969
Ethionamide,8251,14,0.95,0.957,-0.007,4.0,0.744,0.987
Moxifloxacin,6785,15,0.929,0.944,-0.015,1.414,0.772,0.974
Amikacin,8973,7,0.925,0.929,-0.004,1.414,0.824,0.996
Levofloxacin,7774,15,0.919,0.94,-0.021,1.414,0.823,0.982
Kanamycin,9333,8,0.913,0.937,-0.024,5.657,0.724,0.995
Bedaquiline,8536,1,0.87,0.776,0.094,0.354,0.042,1.0
Clofazimine,7763,1,0.807,0.75,0.057,0.354,0.038,0.999
Linezolid,7141,1,0.724,0.731,-0.007,1.414,0.263,1.0
Delamanid,11926,2,0.65,0.652,-0.002,0.173,0.059,1.0
