Drug,n,%R,cat_vars,Cat_Sens,Cat_Spec,Cat_PPV,ML_AUC,ML_Sens,ML_Spec,Sens_gain(ML-Cat)
Rifampicin,8955,39,135,0.956,0.958,0.935,0.979,0.938,0.966,-0.018
Isoniazid,9519,47,1456,0.927,0.984,0.981,0.98,0.935,0.979,0.008
Ethambutol,6614,22,16,0.883,0.952,0.84,0.973,0.918,0.953,0.035
Moxifloxacin,6785,15,19,0.865,0.958,0.778,0.942,0.841,0.957,-0.024
Amikacin,8973,7,4,0.841,0.992,0.881,0.935,0.821,0.995,-0.02
Levofloxacin,7774,15,19,0.837,0.982,0.892,0.938,0.819,0.973,-0.018
Kanamycin,9333,8,8,0.804,0.983,0.811,0.93,0.771,0.981,-0.033
Ethionamide,8251,14,1794,0.8,0.961,0.777,0.955,0.862,0.951,0.062
Linezolid,7141,1,8,0.316,0.999,0.857,0.79,0.224,0.991,-0.092
Bedaquiline,8536,1,1092,0.296,0.988,0.176,0.816,0.254,0.992,-0.042
Clofazimine,7763,1,1028,0.113,0.989,0.121,0.788,0.264,0.974,0.151
Delamanid,11926,2,4473,0.108,0.998,0.513,0.617,0.172,0.944,0.064
